epoch,train_loss,val_loss
1,0.11538680880738977,0.0854034971686738
2,0.06757087129772756,0.05163922335081433
3,0.04569281078221505,0.04608197658512723
4,0.04058297638568962,0.039828072918291706
5,0.03393687400640103,0.03381015682843194
6,0.02879063619071977,0.027629779642494162
7,0.023046080317152173,0.02263822324981737
8,0.01931143660555806,0.02101395030816396
9,0.01761315118586808,0.020395598193602777
10,0.01607526439127692,0.020521082132313382
11,0.015548869728911341,0.020129260472693845
12,0.015210529792596374,0.01970426104406812
13,0.014962843599680222,0.019811696525829942
14,0.01502009553736762,0.020083641494388012
15,0.014883377419359852,0.019674116995797228
16,0.014649439648839465,0.019839031297472578
17,0.014469991291039869,0.019994926689869137
18,0.01416529979099307,0.01970967676360809
19,0.013746774706401323,0.019733161364325243
20,0.013310636743380313,0.019828910406549178
21,0.012682071681085386,0.019722627244185453
22,0.012412233363118088,0.019594268196850867
23,0.01221592727917851,0.01956800527092236
24,0.012124853303427236,0.020044169801088117
25,0.012032846057493435,0.01929517872446212
26,0.011936640510695023,0.01966683192187874
27,0.01187926193274427,0.019826393963685678
28,0.011865933932233275,0.019700441824559548
29,0.011811031463245551,0.019419421900564164
30,0.011799039093679504,0.019499566461612928
31,0.01177653869646683,0.019776752524411502
32,0.011772982501669934,0.01940618918754568
33,0.011702932557908066,0.019499980728721143
34,0.01162373710162284,0.01950858907764824
35,0.011567663564755205,0.019292830271803917
36,0.011476658078792848,0.019357903531534756
37,0.011317299597226736,0.019248641953242954
38,0.011126451432835638,0.0190356830459329
39,0.011012002593723305,0.019206977528126085
40,0.010957181133460581,0.018983776074143786
41,0.010822233851802976,0.018615867479227076
42,0.010713529276351134,0.018793793015219086
43,0.010680867064940302,0.01883283579972253
44,0.010537254107756572,0.018586484094460804
45,0.010464013237179371,0.018395269539818834
46,0.01045372527615543,0.0181713297740737
47,0.0103817713757356,0.018197209310175766
48,0.010317226518925868,0.01821487337647386
49,0.01027326628957924,0.01788393437714126
50,0.010205131736502313,0.017717183711220375
