epoch,train_loss,val_loss
1,0.11175750203661083,0.0674110548090689
2,0.05820489187062401,0.04001827196208472
3,0.040655470091555124,0.03321017513109237
4,0.03367430856291371,0.024461101971029006
5,0.02631412892637589,0.018196554777702104
6,0.01973309638010677,0.014358125194983999
7,0.01698126476194031,0.013755702730460265
8,0.016063499926906272,0.013381843618357304
9,0.01531899018898043,0.01306922344932544
10,0.015060584358486933,0.01282209673531584
11,0.014791271870130115,0.012709307013866827
12,0.014495118620366985,0.012823823647400768
13,0.014400309402994887,0.01279600534933744
14,0.014219224805018747,0.012597103007905876
15,0.014032688670346826,0.012585048938227683
16,0.013759071602649296,0.01260595148448477
17,0.013312350955385318,0.012686627744168965
18,0.012667350576633644,0.01259392618019249
19,0.012237281068084166,0.012659975557981692
20,0.011963654488734774,0.01259048534653236
21,0.011781282076464896,0.012507032257379945
22,0.011694803549123998,0.012599428309146891
23,0.011643916762136306,0.012550590146985865
24,0.011583669943242138,0.01260526252660862
25,0.011556522821514672,0.012612538431415852
26,0.011537660953438365,0.012605272915175896
27,0.011533766988139996,0.012555641688636899
28,0.011528430698612301,0.012573738352001942
29,0.011469826227073203,0.012464271608701687
30,0.011433839941992588,0.012480566863777097
31,0.011403695216139978,0.012576784756149827
32,0.011371392420656289,0.012252975917738123
33,0.011277583382921326,0.012326199110098107
34,0.011134237067012238,0.012208614555984428
35,0.011044302161565352,0.011982397675591032
36,0.010810354609311242,0.011790202316088775
37,0.010761644169560209,0.01174683463711714
38,0.010553369029741926,0.011690925902773425
39,0.010417952883950215,0.011587005924702305
40,0.01031663706942215,0.011442275977088618
41,0.010180796317346521,0.011379401353139853
42,0.010100388403380244,0.011324411334911572
43,0.010042386907200837,0.011133314590401872
44,0.009978719074855145,0.01112760871303143
45,0.00991922007278376,0.011163227836188581
46,0.009780302976619746,0.010850515514228148
47,0.009681652120836206,0.010727619358636056
48,0.009553655533958547,0.010830199278737466
49,0.009354803125498835,0.010224132827415909
50,0.00899913028855504,0.00976827847243277
